Width,Prob,Time
250,0.8,311
250,0.85,293
260,0.2,1297
260,0.25,1037
260,0.3,865
260,0.35,741
260,0.4,640
260,0.45,578
260,0.5,515
260,0.55,473
260,0.6,431
260,0.65,401
260,0.7,372
260,0.75,346
260,0.8,325
260,0.85,307
270,0.2,1347
270,0.25,1080
270,0.3,903
270,0.35,776
270,0.4,672
270,0.45,599
270,0.5,537
270,0.55,491
270,0.6,446
270,0.65,413
270,0.7,385
270,0.75,358
270,0.8,337
270,0.85,316
280,0.2,1392
280,0.25,1108
280,0.3,941
280,0.35,798
280,0.4,697
280,0.45,623
280,0.5,558
280,0.55,511
280,0.6,464
280,0.65,431
280,0.7,399
280,0.75,373
280,0.8,347
280,0.85,329
290,0.2,1450
290,0.25,1170
290,0.3,974
290,0.35,826
290,0.4,729
290,0.45,643
290,0.5,578
290,0.55,529
290,0.6,482
290,0.65,442
290,0.7,416
290,0.75,386
290,0.8,363
290,0.85,341
300,0.2,1503
300,0.25,1199
300,0.3,1000
300,0.35,856
300,0.4,758
300,0.45,664
300,0.5,600
300,0.55,547
300,0.6,498
300,0.65,461
300,0.7,429
300,0.75,400
300,0.8,374
300,0.85,354
310,0.2,1545
310,0.25,1232
310,0.3,1030
310,0.35,882
310,0.4,777
310,0.45,688
310,0.5,619
310,0.55,561
310,0.6,518
310,0.65,474
310,0.7,443
310,0.75,416
310,0.8,386
310,0.85,365
320,0.2,1608
320,0.25,1275
320,0.3,1061
320,0.35,909
320,0.4,795
320,0.45,705
320,0.5,639
320,0.55,579
320,0.6,533
320,0.65,491
320,0.7,456
320,0.75,426
320,0.8,402
320,0.85,376
330,0.2,1653
330,0.25,1317
330,0.3,1091
330,0.35,943
330,0.4,824
330,0.45,730
330,0.5,656
330,0.55,597
330,0.6,546
330,0.65,506
330,0.7,470
330,0.75,440
330,0.8,412
330,0.85,387
340,0.2,1693
340,0.25,1351
340,0.3,1135
340,0.35,969
340,0.4,848
340,0.45,754
340,0.5,679
340,0.55,618
340,0.6,568
340,0.65,522
340,0.7,481
340,0.75,453
340,0.8,424
340,0.85,399
350,0.2,1743
350,0.25,1399
350,0.3,1162
350,0.35,990
350,0.4,873
350,0.45,776
350,0.5,696
350,0.55,636
350,0.6,580
350,0.65,537
350,0.7,500
350,0.75,466
350,0.8,435
350,0.85,412
360,0.2,1791
360,0.25,1451
360,0.3,1204
360,0.35,1029
360,0.4,895
360,0.45,795
360,0.5,718
360,0.55,650
360,0.6,600
360,0.65,550
360,0.7,513
360,0.75,479
360,0.8,449
360,0.85,423
370,0.2,1841
370,0.25,1487
370,0.3,1227
370,0.35,1064
370,0.4,923
370,0.45,823
370,0.5,736
370,0.55,669
370,0.6,616
370,0.65,565
370,0.7,527
370,0.75,493
370,0.8,462
370,0.85,434
380,0.2,1892
380,0.25,1519
380,0.3,1276
380,0.35,1090
380,0.4,946
380,0.45,837
380,0.5,755
380,0.55,686
380,0.6,633
380,0.65,583
380,0.7,544
380,0.75,504
380,0.8,472
380,0.85,447
390,0.2,1956
390,0.25,1547
390,0.3,1296
390,0.35,1112
390,0.4,969
390,0.45,874
390,0.5,779
390,0.55,705
390,0.6,647
390,0.65,600
390,0.7,555
390,0.75,519
390,0.8,487
390,0.85,457
400,0.2,1990
400,0.25,1588
400,0.3,1337
400,0.35,1146
400,0.4,998
400,0.45,889
400,0.5,799
400,0.55,729
400,0.6,665
400,0.65,615
400,0.7,570
400,0.75,532
400,0.8,498
400,0.85,469
410,0.2,2050
410,0.25,1649
410,0.3,1363
410,0.35,1171
410,0.4,1026
410,0.45,912
410,0.5,820
410,0.55,745
410,0.6,681
410,0.65,631
410,0.7,584
410,0.75,545
410,0.8,511
410,0.85,481
420,0.2,2097
420,0.25,1673
420,0.3,1403
420,0.35,1199
420,0.4,1046
420,0.45,932
420,0.5,841
420,0.55,759
420,0.6,693
420,0.65,642
420,0.7,599
420,0.75,561
420,0.8,524
420,0.85,493
430,0.2,2138
430,0.25,1712
430,0.3,1424
430,0.35,1224
430,0.4,1073
430,0.45,954
430,0.5,856
430,0.55,778
430,0.6,715
430,0.65,661
430,0.7,612
430,0.75,571
430,0.8,538
430,0.85,505
440,0.2,2173
440,0.25,1756
440,0.3,1470
440,0.35,1256
440,0.4,1096
440,0.45,974
440,0.5,878
440,0.55,799
440,0.6,730
440,0.65,678
440,0.7,628
440,0.75,586
440,0.8,550
440,0.85,519
450,0.2,2225
450,0.25,1809
450,0.3,1500
450,0.35,1281
450,0.4,1128
450,0.45,996
450,0.5,907
450,0.55,823
450,0.6,750
450,0.65,691
450,0.7,639
450,0.75,599
450,0.8,561
450,0.85,530
460,0.2,2306
460,0.25,1841
460,0.3,1528
460,0.35,1306
460,0.4,1148
460,0.45,1019
460,0.5,922
460,0.55,832
460,0.6,766
460,0.65,702
460,0.7,659
460,0.75,613
460,0.8,576
460,0.85,540
470,0.2,2340
470,0.25,1877
470,0.3,1563
470,0.35,1338
470,0.4,1167
470,0.45,1040
470,0.5,940
470,0.55,853
470,0.6,781
470,0.65,726
470,0.7,668
470,0.75,628
470,0.8,587
470,0.85,552
480,0.2,2387
480,0.25,1910
480,0.3,1592
480,0.35,1371
480,0.4,1201
480,0.45,1067
480,0.5,970
480,0.55,875
480,0.6,802
480,0.65,738
480,0.7,688
480,0.75,642
480,0.8,598
480,0.85,565
490,0.2,2447
490,0.25,1969
490,0.3,1629
490,0.35,1404
490,0.4,1218
490,0.45,1090
490,0.5,978
490,0.55,896
490,0.6,815
490,0.65,754
490,0.7,698
490,0.75,655
490,0.8,614
490,0.85,576
500,0.2,2491
500,0.25,1991
500,0.3,1668
500,0.35,1422
500,0.4,1244
500,0.45,1110
500,0.5,996
500,0.55,907
500,0.6,833
500,0.65,768
500,0.7,715
500,0.75,665
500,0.8,626
500,0.85,588
510,0.2,2543
510,0.25,2037
510,0.3,1694
510,0.35,1456
510,0.4,1275
510,0.45,1133
510,0.5,1025
510,0.55,929
510,0.6,847
510,0.65,783
510,0.7,729
510,0.75,680
510,0.8,635
510,0.85,599
520,0.2,2595
520,0.25,2072
520,0.3,1735
520,0.35,1473
520,0.4,1297
520,0.45,1156
520,0.5,1040
520,0.55,942
520,0.6,869
520,0.65,795
520,0.7,740
520,0.75,694
520,0.8,649
520,0.85,610
530,0.2,2635
530,0.25,2127
530,0.3,1746
530,0.35,1506
530,0.4,1322
530,0.45,1175
530,0.5,1057
530,0.55,958
530,0.6,884
530,0.65,816
530,0.7,754
530,0.75,709
530,0.8,663
530,0.85,623
540,0.2,2677
540,0.25,2153
540,0.3,1798
540,0.35,1540
540,0.4,1345
540,0.45,1195
540,0.5,1080
540,0.55,980
540,0.6,900
540,0.65,828
540,0.7,770
540,0.75,718
540,0.8,674
540,0.85,634
550,0.2,2751
550,0.25,2202
550,0.3,1837
550,0.35,1564
550,0.4,1368
550,0.45,1220
550,0.5,1097
550,0.55,998
550,0.6,916
550,0.65,846
550,0.7,785
550,0.75,732
550,0.8,685
550,0.85,646
560,0.2,2776
560,0.25,2231
560,0.3,1867
560,0.35,1599
560,0.4,1394
560,0.45,1246
560,0.5,1118
560,0.55,1018
560,0.6,930
560,0.65,860
560,0.7,798
560,0.75,744
560,0.8,700
560,0.85,657
570,0.2,2859
570,0.25,2265
570,0.3,1903
570,0.35,1637
570,0.4,1425
570,0.45,1271
570,0.5,1136
570,0.55,1040
570,0.6,944
570,0.65,879
570,0.7,815
570,0.75,759
570,0.8,713
570,0.85,668
580,0.2,2893
580,0.25,2326
580,0.3,1940
580,0.35,1655
580,0.4,1456
580,0.45,1285
580,0.5,1155
580,0.55,1054
580,0.6,963
580,0.65,894
580,0.7,828
580,0.75,770
580,0.8,725
580,0.85,682
590,0.2,2930
590,0.25,2366
590,0.3,1956
590,0.35,1681
590,0.4,1474
590,0.45,1310
590,0.5,1187
590,0.55,1072
590,0.6,982
590,0.65,906
590,0.7,841
590,0.75,786
590,0.8,736
590,0.85,694
600,0.2,2996
600,0.25,2408
600,0.3,1994
600,0.35,1712
600,0.4,1496
600,0.45,1332
600,0.5,1200
600,0.55,1091
600,0.6,1000
600,0.65,919
600,0.7,854
600,0.75,800
600,0.8,752
600,0.85,704
610,0.2,3040
610,0.25,2446
610,0.3,2035
610,0.35,1740
610,0.4,1527
610,0.45,1350
610,0.5,1221
